::Stocker ::KappelS91 
::LeslieJBY95 ::Sugata 
::1325 ::ShivakumarG96 
::Hoel ::Andrey 
::1102 ::Suciu 
::Stonebraker91 ::1073 
::Structures ::LentSW97 
::External ::Tabular 
::Satkin ::4497467 
::Stefanie ::Prefetching 
::Sridhar ::JaffarYZ06 
::4497533 ::656 
::4497502 ::KitsuregawaO90 
::MansuriS06 ::Rule 
::22850020abs ::Geometric 
::Lee ::4497500 
::Sachin ::Sup 
::Zaane ::Sharma 
::KemperM90 ::Committee 
::Timos ::ChaudhuriNR08 
::Chuan ::912 
::270 ::Family 
::Wolfson ::Objective 
::Akiko ::1367 
::Kenny ::Raffio 
::DrapeauPK94 ::916 
::Busatto ::Gail 
::Zina ::BerchtoldKK96 
::AssfalgKKKPR08 ::party 
::ChengDNPKWAAFSSS97 ::390 
::Trial ::Participants 
::4497616 ::l 
::Wide ::3D 
::355 ::Behr 
::Anna ::PrabhakarAAA98 
::HutfleszSW88 ::317 
::pdf ::Clustered 
::GukalOR96 ::JensenSS94 
::Driven ::Griffiths 
::Moving ::Ramakrishna 
::Indyk ::Forms 
::1524 ::4497624 
::Jaideep ::Marios 
::Compliance ::15310357abs 
::15310282 ::Gawlick 
::Varied ::4497451 
::Lot ::431 
::RoitmanGR08 ::Motwani 
::Govindaraju ::MishraE92 
::Bedell98 ::Nuwee 
::Zezula ::Kim95 
::Amrish ::Coupled 
::Available ::JaffarYZ06 
::Aliekber ::607 
::acm ::Agesen 
::1381 ::15310274 
::Spreadsheets ::914832 
::22850131abs ::4497635 
::Hyun ::267 
::TelegraphCQ ::Zhiping 
::Cherniack ::cover 
::Aameek ::Feature 
::TheodoridisS96 ::Kendig 
::sac ::Girod 
::Categorical ::Ramamurthy 
::Jae ::Lavelle 
::1579 ::1399 
::gis ::Filter 
::237 ::22850717abs 
::usenix ::Labeled 
::Times ::CareyD96 
::Durmaz ::AlexeCMT08 
::Saenz ::ZouC08 
::From ::Convoy 
::Gattu ::PictureBook 
::1583 ::Danzhou 
::Nabeel ::Coverage 
::490 ::Estimators 
::1369 ::Records 
::Authoritative ::Griffiths 
::P231 ::Antijoin 
::Adaptive ::Experiences 
::587 ::1451 
::645 ::WolskiKP96 
::OWL ::Bhat 
::15310225abs ::Molina02 
::Resources ::GawlickK85 
::CareyHMW96 ::Cluster 
::TRMeister ::Schoning01 
::Processes ::Hellerstein 
::Fuh ::Swanwa 
::Determine ::ShashaLSV95 
::Research ::Ontology 
::bda ::Subspaces 
::Nicole ::Isoline 
::KorthKB88 ::State 
::AnHai ::Scheme 
::Implementation ::DeRose 
::Mengchi ::MunakataJ94 
::SarmaTW08 ::Thatte 
::Detect ::YuC84 
::Made ::145 
::Chiang ::ChenL02 
::Henrich94 ::Suri 
::0 ::Computation 
::Kotidis ::MannilaTV94 
::Make ::Jenkin 
::Mumtaz ::FaloutsosBFHNPE94 
::585 ::GeZ08 
::pldi ::Emeki 
::Transcoding ::P182 
::QiaoRNPCFRCYL08 ::668 
::PapakonstantinouAG96 ::Metric 
::Tier ::1445 
::Schning ::Jennifer 
::Yasin ::PC 
::Sequencing ::Evaluation 
::P466 ::Zahir 
::Syntactic ::967 
::Galt ::Browser 
::Manipulation ::Sridhar 
::Lomet93 ::Jeong 
::Relations ::Il 
::4497508 ::Shao 
::HwangBRCSZ05 ::Denzel 
::Music ::Emmanuel 
::Joins ::bit 
::Conceptual ::DaiKSTV08 
::DasCWAS08 ::Shalem 
::RinardD96 ::249 
::YangPPK08 ::15310271 
::Mover ::Singer 
::Inverse ::Stonebraker 
::Systems ::Stratified 
::Manocha ::Giannotti 
::Informative ::Randal 
::RajaramanSU95 ::BayerHR80 
::ChoR02 ::116 
::Kaname ::686 
::Vries ::RoschGL08 
::Wierman ::HungDS05 
::anonymizing ::Antoni 
::499 ::NetzCFB01 
::Hans ::4497425 
::GhinitaTK08 ::Mal 
::GabowT89 ::15310494 
::Friendly ::McWherterSAH05 
::Marian ::Lindsay 
::Bryan ::rtdb 
::1199 ::Moshchuk 
::GohMS94 ::Papapetrou 
::Pseudo ::LittleAFGRSV93 
::UDB ::Y 
::Tian ::GoldingBSSW95 
::LiebermanSS08 ::Replica 
::22850853abs ::635 
::556 ::ZhangWL08 
::Deng ::Rosy 
::Propagation ::Riqiang 
::63 ::ZhangLXKW06 
::Barker ::22851131abs 
::AhmadABM08 ::VrhovnikSES08 
::HellersteinNP95 ::Chi 
::de ::199 
::adl ::Approximation 
::Annotating ::Naughton 
::Bressan ::1537 
::Photos ::Style 
::SimitsisVS05 ::1624 
::101 ::Ziv 
::Luk ::Qiao 
::Telle ::Customer 
::15310263 ::Date90 
::Lieuwen98 ::15310297abs 
::Cui ::Pan 
::AHYDS ::Correlation 
::4497541 ::Bugra 
::Beckmann ::Karlsson 
::Queues ::Middleware 
::SampleCFHSC02 ::XCluster 
::Xiaoxin ::Ghinita 
::4497548 ::mk 
::Consens ::324 
::P004 ::Timos 
::OntoWebber ::914817 
::Condit ::4497430 
::icmcs ::QoSMig 
::Systems ::1140 
::Gehrke06 ::DayalHL91 
::Centric ::Ruoming 
::Ivanova ::Wing 
::276 ::Borr81 
::Automation ::Dirk 
::BohannonPRSSS96 ::15310431abs 
::Server ::Darrell 
::FaloutsosK94 ::136 
::ngc ::Providing 
::ParkKL01 ::Paton 
::BeckleyER85 ::Nuwee 
::Working ::Thomas 
::AggarwalY08a ::NagarajNRS08 
::Interfaces ::4497637 
::jlp ::DeshpandeH02 
::914844 ::883 
::Pipelined ::22850767abs 
::Mitch ::22850020abs 
::Ryvkina ::P069 
::4497559 ::ichi 
::272 ::Graefe 
::Alternative ::Korn 
::Fatma ::Block 
::Relevance ::HTML 
::CatarciCS94 ::Simitsis 
::BakalovT08 ::Tam 
::PDM ::htm 
::Subbarao ::Integrating 
::Soo ::1596 
::Mohan90 ::15310276 
::Tamir ::Giannotti 
::Ahn08 ::Norio 
::RAM ::Rakesh 
::Regnier85 ::YounSun 
::1125 ::Mirette 
::Arnold ::KeulenKA05 
::YangL87 ::Qian 
::Techniques ::Khaitan 
::icde2002 ::Varied 
::Kotagiri ::Generalized 
::Kjetil ::speak 
::Oguchi ::22850490abs 
::YFilter ::ChristophidesACS94 
::Kubota ::KoloniariP08 
::93 ::asplos 
::Balanced ::Recovery 
::BentleyM80 ::4497477 
::MudumbaiSSPB98 ::Kantarcioglu 
::1148 ::Training 
::Korth ::X05t 
::Statistics ::via 
::4497468 ::Schlimmer93 
::Siva ::JagadishMR98 
::Atmosukarto ::computer 
::63 ::Ouzzani 
::Devarakonda ::Optimized 
::ChenR05 ::BinnigKLS08 
::1106 ::4497595 
::1488 ::1325 
::Satisfying ::Flow 
::4497464 ::ChrysanthisR94 
::ZhangLKW06 ::35 
::Carey ::Chang 
::523 ::AgrawalS94 
::OSSM ::TangYOW08 
::John ::Reduction 
