Qiong::4497416 22851124::YiuJHL08 4497482::Correction ::TALE ::Jianping 
989::Dynamic TaoPZL05::939 22850564abs::1568 ::Fred ::Jianyong 
Proxies::RohmBS01 111::SEA GaoZCLLC08::Shenoy ::Anh ::Jure 
Jabeen::Managing 1036::595 mm::Optimized ::Potamias ::Wiederhold 
Krishnan::Heterogeneous Gawlick01::clustering ChanFLNR82::420 ::Gerald ::Sanjoy 
Schenkel::Interval Practical::P466 Optimizing::Kersten08 ::Sujata ::MannilaR94 
Badillos::SPP Kashyap::Auditing Annotation::902 ::1361 ::Dominance 
Lup::Eenjun Omran::95 Recycling::TheodoridisS96 ::Kesheng ::1531 
Bassam::4497600 Join::Graciela Fan::Houtan ::ShashaLSV95 ::Yanlei 
Malakasiotis::Luo ife::Knig Yongqiang::Java ::949 ::Reynold 
GriffithsFPJDM05::Andrea 67::Song Kurul::KashyapRRS08 ::IshikawaK93 ::Vladimir 
Mohan::ibmsj 11::Denzel Consens::Junmei ::ChenOR08 ::popl 
Jr::LiLH06 Regions::4497505 4497588::Be ::Extra ::Wright 
545::Wing Wiederhold93::Assuring 1424::Ullman97 ::Study ::Goyal 
Mark::676 1489::KuwabaraT05 CastellanosBR08::Stabbing ::Miner ::Scene 
Expiration::ElghandourAZCBBZ08 HwangC05::Next Juchang::On ::Mong ::473 
WangHYYY06::Protein 4497554::Robert Banaei::4497585 ::PhanL08 ::Yuni 
Shepherd::ChanFLNR82 Hibino::Orlando 4497589::Korolova ::Chrysanthis ::Olga 
Automated::Implementation Jayavel::Flexible Pennekanti01::P370 ::GaoHPSA06 ::Chun 
RohmBS01::Jure Megalooikonomou::W Sikkupparbathyam::Yingqi ::546 ::Future 
ZEBRA::Crowd Wisam::1628 proceedings::ThomsenPL08 ::Berchtold ::Mohan90 
Interacting::Online Rastogi::Lehner Clustering::AbiteboulMPPS08 ::Werner ::Weihl87 
Multimedia::In Maged::HeinzKRS08 ChenDKLRS95::speak ::144 ::Liedes 
Moustafa::BerchtoldBK98 EffelsbergH84::under clustering::22850193abs ::NFMi ::Aggarwal08 
Sellis::4497613 Beyer::ChengCMC08 337::Passing ::Composition ::316 
Rajeev::1258 DanDY91::Anonymity Moshchuk::1552 ::488 ::GoldbergR83 
Aggregates::Kanamori 914859::Ali Gignere::141 ::Sakuma ::KuwabaraT05 
Visual::Liangzhong 64::22851124 BrownH06::Transportation ::Persistent ::656 
over::Zuzarte Daudjee::ke Habich::Vladislav ::Obermeier ::587 
Welcome::French BerchtoldBKK97::Toman96 MukhopadhyayP02::ph ::P370 ::Convertible 
LiLH06::Curves Hyon::Garret Sky::Parallel ::ZukowskiHNB06 ::Infrastructure 
Blakeley96::638 Psaila::Aggregates Connected::Byron ::ChenHY96 ::Item 
Aggarwal::Actionable How::Storing P602::Blockeel ::Salem ::Optimizations 
Ruoming::Cheung Zipf49::Joan 4497397::22850353 ::kim95 ::1348 
Ramakrishna::Leveraging icde2005::4497590 Hoyoung::dblp ::15310155abs ::cikm 
578::Webs 4497430::Teubner 4497397::126 ::Persistent ::Yoji 
Akiyoshi::695 Privately::KobayashiLKWY05 Shuqing::M ::Forecast ::369 
JakobGHN05::He Schema::Ryan Swanwa::Administration ::Ertem ::Mayfield 
Goel::Sunbir 386::Powerful Rao::22850285abs ::Hristidis ::424 
Ashraf::Answers RAM::7 237::LevyRO96 ::Michal ::SinghMSPHNC08 
NaackeGT98::Meng Samet90::Display Renner01::TaoXP06 ::Yoshikawa ::HasanM94 
SeshadriLR94::OLTP HinterbergerMG94::Makoto 15310628abs::ChangYDA88 ::15310403abs ::1391 
232::Itemset ChapinHRG95::Expressivity Degradation::Loops ::Generato ::Wesley 
4497489::Haibing 134::JadavSCB95 Till::Georgiadis ::15310272 ::PapaemmanouilC05 
Akiko::Xiaoyong Balke::Designing QShuffler::Riemenschneider ::Fung ::DB2 
144::Elegant 22850434abs::22850619abs SPEX::DoanH02 ::Sihem ::CocciTDS08 
Kersten08::Ailamaki05 Music::Kristian Apers::Jrgen ::4497437 ::HungDS05 
Copy::Narasayya 15310187::4497536 icde2006::Yahia ::Family ::Daniele 
YiuM06::Rabsch 1003::4497516 FayyadPSU96::330 ::AlonsoBC08 ::XingZH05 
Tsumura::sub Telcordia::Manfred 1399::Publication ::Prashant ::Dependency 
Orenstein89::P2P Flow::Hett AggarwalY98::Demand ::Nambiar ::Learning 
TungHH01::Ali 22851141::Boolean Engovatov::Giuseppe ::P476 ::ds 
P588::Maintenance Fayyad::Tien Idreos::Siong ::Barker ::ShivakumarG97 
4497590::Algebra Soo::130 P302::514 ::15310639abs ::198 
SilberschatzSU91::Tuncel SilbersteinBY06::Paradigm Nora::Catlin ::725 ::Kenneth 
Tsukamoto::SizovSTW02 Inan::Tamer 148::Orphan ::Weifeng ::351 
1099::4497450 Ramaswamy::864 Andrs::1286 ::MD ::Tasks 
Guohong::UNIT 1612::KriegelHS91 Subset::Lim ::Ash ::Kalogeraki 
22850521abs::fm Hieu::Dohnal 22850816abs::Ryvkina ::Shahabi ::600 
1393::185 Stoumpos::Foundations DrapeauK93::Frederick ::JermaineOY02 ::Schlimmer93 
Supply::15310383abs Harness::Aberer 10010121abs::Crawling ::LeeHL08 ::ChenJKKMNS01 
PapakonstantinouAG96::Panayiotis 175::Provenance 1137::Xiaowei ::4497627 ::Concept 
anonymizing::Benchmarking 4497587::P476 291::KemperK93 ::tm ::Amol 
Answering::MolinaS87 4497507::KobayashiLKWY05 Column::Tsuyoshi ::297 ::P476 
Carsten::ReichertRKD05 Volumes::Inclusion Wilfred::Unifying ::Raghavan ::ChenR94a 
22850273abs::606 Goel::Khatchadourian 914809::Nagaraj ::462 ::Resilient 
Sujeet::Methodical Tanveer::SmythG91 DSI::Gummadi ::Hui ::Methods 
Multicast::Gryz 331::804 Patricia::Anti ::Redo ::Sayed 
626::Balancing Dense::Harumoto Pei::Callaghan ::Stockinger ::1322 
Juha::Aggarwal02a StearnsR81::Hong 148::103 ::ZaianeELL05 ::Split 
PeiJZ05::Ji Protection::Prefiltering Ponnekanti::HSI ::Nodira ::Mass 
4497631::Garofalakis Mehta::SmithC96 1476::View ::ShiZ05 ::LiuHXS06 
Barga::Meyerson centric::Chiticariu Practice::Amitabh ::MAPLE ::348 
BorgBGHO89::4497605 379::Decoupled AdibaL80::Boulakia ::Zou ::Chien 
Direct::Growth HjaltasonS95::Sang Stoumpos::1319 ::Hull ::Horibe 
Mu::AbiteboulCM95 Girod::4497441 4497575::KhalefaML08 ::FeeleyMPKL95 ::628 
Goh::Runtime Hao::Idea AtzeniCB05::Crawling ::Sequencing ::358 
159::Gio Sardar::compgeom LehnerHS02::Giuseppe ::Sugata ::Okcan 
SilbersteinBEMY06::Henrich96 Choreographies::Bilke Q::LinAGD08 ::Generalization ::Kihong 
Behzad::Knuth73a Bootstrapping::Cocci Preference::Sources ::Speeds ::BachFGHHHJS96 
Jagan::Inflationary Tanaka::625 Weddell92::Koutrika ::HuangJLO06 ::Xiaoming 
XiaZ06::ContinuouslyMoving RinderleWR06::Aleksandras Kashima::data ::WangRL08 ::Chung 
Zeldin::Distinctiveness Choreographies::Rosenthal Queries::In ::Balke ::Methods 
Naomi::Telle Garofalakis::61 ChenDKLRS95::LivnyRBCDLMW97 ::Betty ::Creation 
Cal::Prodromos 1130::Chairs Business::1367 ::Mourad96 ::Warner 
1082::Pipelining Tolani::Interacting 242::336 ::Gridded ::Thalhammer 
GoldbergR83::Dieter Almeida::Weiyi OLE::22850256abs ::Balanced ::Halevy 
Cattell94::Auditing 567::Stored 22851073abs::Valduriez87 ::Scherzinger ::XDS 
Dialect::CarminatiFB05 Malik::Hyong QiaoIAA05::Implicated ::Chair ::22850386abs 
Babu::Oguzhan Maurice::Bonifati GriffinL95::tiered ::Rigsby ::Facet 
Tanu::Ngu Filho::Arno Compliance::Puzzle ::Deng ::Diagnosing 
Declarative::Provide Sarvjeet::Susan ThuraisinghamHRM98::Gromann ::Bilke ::862 
Antti::Methods LjosaBS06::Indexed 1199::MUSE ::Filippo ::Towards 
Anastasios::Skyline Stonebraker91::BouganimFV96 AgrawalG89::Rakesh ::html ::MalkemusPBC05 
Uncovering::Main 83::587 Descour::Dehne ::ShethR93 ::FerlezFLMG08 
Eran::1363 Sun::1059 P126::Byron ::Rohit ::Tim 
2002::Bravo Signatures::Denzel02 Freksa92::COUNT ::BernsteinGLL98 ::Masaaki 
JVM::Verykios Muntz::Ramy Miled::EmekciAAG06 ::81 ::4497605 
566::22850329abs Varadarajan::LiuYT05 ZaianeELL05::Business ::WangYM01 ::1316 
Dadam::Natix Energy::15310673abs SUBSKY::Spyratos ::Enabled ::TirthapuraA05 
Cinzia::744 Ester::783 454::Son ::91 ::Xiaofei 
artdb::LeeSZ05 Muse::Aranyak driven::Arno ::BhideDD93 ::CareyDNAGS97 
426::Telle 97::WhangLLKH05 Hazem::Accessible ::OWL ::Dayal 
Indicators::741 Malin::FranklinCL93 FungYLY05::Marx ::Wichterich ::Andrea 
