::AbulBN08 ::Wolf ::Vazirgiannis ::302 
::Database ::Improving ::Type ::Chow 
::widomC96 ::Nora ::BunemanNTW95 ::341 
::EvdokimovFG06 ::303 ::384 ::LiSDKG01 
::Schlatter ::1372 ::Dumas ::4497486 
::RoitmanGR08 ::Yeol ::Ling ::372 
::4497452 ::Coarse ::KlemettinenMRTV94 ::Chiu 
::Xie ::4497604 ::OomotoT93 ::enough 
::Ursino ::4497494 ::Feher ::442 
::173 ::SakuraiPF05 ::Security ::Chrysanthis 
::LangOS96 ::1394 ::Chih ::Propagation 
::Randal ::LawrenceB02 ::Towards ::Takuya 
::Adjourn ::Driven ::4497406 ::MANETs 
::PictureBook ::Ashwin ::Willem ::Lp 
::Abbadi ::Freeston87 ::Maxim ::Pointsets 
::Kim ::Spreadsheets ::Hacigms ::X06 
::Yanjiang ::Myoung ::multimedia ::4497562 
::Integrity ::Rights ::Venkatasubramanian ::Sedmidubsk 
::Leutenegger ::660 ::1081 ::EmekciAAG06 
::Architecture ::IshikawaIKH92 ::Mitch ::Intensive 
::Kersten ::Matthew ::Ning ::P105 
::914819 ::Yeol ::Specification ::SchmidtKW01 
::Sergey ::714 ::433 ::Fabian 
::4497615 ::Similarity ::Henrich98 ::Provable 
::ZukowskiHNB06 ::22850258abs ::Kshitij ::pe 
::WuB98 ::791 ::Sachin ::Tomkins 
::Facet ::BeckerHF93 ::tods ::Manipulation 
::914877 ::Mannila ::Smriti ::McWherter 
::jacm ::311 ::Amrish ::1048 
::ShenOT06 ::GuptaJM96 ::22850446abs ::Stefani 
::978 ::COUNT ::Suciu96 ::Silberstein 
::Digital ::AutoLag ::Scenarios ::605 
::926 ::title ::Grzegorz ::Charu 
::Stratified ::Dhamdhere ::443 ::Magdalena 
::Kristal ::Schlatter ::Arijit ::Traffic 
::330 ::Siva ::BlottRS96 ::FaloutsosK94 
::Lu ::72 ::Silberstein ::Latency 
::WuEDCKAS08 ::ChenHY96 ::Antonios ::Yiu 
::BunemanDHS96 ::between ::Relaxation ::CaoCFT08 
::Triggers ::Shahabi ::Mishra ::Powered 
::Sullivan96 ::Down ::Ho ::BurdickCG01 
::Multiresolution ::17 ::Hristidis ::Ewen 
::Business ::EswarranGLT76 ::Barga ::Palopoli 
::X05p ::4497503 ::GravanoG95 ::932 
::ChristophidesCM96 ::Recommendation ::Rishe ::Protein 
::Pandis ::GeZ08 ::BhalotiaHNCS02 ::SolworthO91 
::Summarizing ::Wong ::76 ::toms 
::comp ::Fernando ::Industrial ::SistlaY96 
::Visual ::Blakeley ::Ilyas ::Koustuv 
::1451 ::Pennekanti01 ::Xie ::Aziz 
::Inventing ::W ::DuS82 ::OptimAX 
::ORDBMS ::Sobulo ::Hanson87 ::4497566 
::15310269 ::Behr ::Scannapieco ::ONeilOW93 
::Le ::Regular ::Durmaz ::30 
::osdi ::488 ::Yuhui ::KistlerS92 
::Takahiro ::Schroeder ::The ::ZhangCMS97 
::179 ::Dhruv ::Xuemin ::Structured 
::PapadimitriouRR94 ::EltabakhEA06 ::902 ::LOCUST 
::Xifeng ::sigmetrics ::Heikki ::Joshi 
::Sliding ::KapitskaiaTV97 ::Renz ::Keijzer 
::952 ::NabeelB08 ::Traceability ::4497633 
::Lian ::15310498 ::KaufmanR90 ::Hartmut 
::120 ::DrapeauK93 ::Vebjorn ::MohanN91 
::Omiecinski ::P334 ::22850310abs ::1277 
::22850742abs ::Wenxin ::1461 ::HuaPZL08 
::David ::Super ::Hsiao ::GrayC89 
::Malaika ::Indriyati ::15310383abs ::Kendig 
::Vaidya ::1501 ::Nicola ::Markl 
::FAST ::dpd ::1116 ::John 
::LiSDKG01 ::CasatiCPP95 ::22850583abs ::Xiaopeng 
::Santos ::String ::36 ::Commodity 
::Keith ::PagelSTW93 ::Dam97 ::Yipu 
::Chiang ::15310673abs ::Alborzi ::BerchtoldBBKK97 
::Pollack ::Hannu ::Robert ::Arjmand 
::Incorporating ::Mummoorthy ::Communication ::VaradarajanHR08 
::864 ::Chris ::Marios ::Approximate 
::Vakali ::1286 ::Availability ::Environments 
::Historical ::dimensional ::Cube ::CastroN08 
::LuoNE02 ::Betty ::Labels ::22850322 
::22850422abs ::Hoyoung ::Interfaces ::ACXESS 
::Opportunities ::KatayamaS01 ::Dialect ::Weining 
::Rakesh ::Grel ::dpds ::Coupling 
::Stanley ::339 ::Lijiang ::22850606abs 
::ChenLGKP94 ::784 ::Min ::4497422 
::Panella ::Gunther93 ::Scheme ::RafieiM97 
::Logic ::Alon ::1559 ::Wombacher 
::RoussopoulosKV95 ::SankaranarayananAS06 ::Jeong ::Main 
::730 ::GongYQZ05 ::Incremental ::Zhanhuai 
::Makoto ::Murthy ::Ziv ::Sparse 
::Gauss ::HardwickSRM97 ::15310278 ::Manfred 
::Ken ::ChenHY96 ::129 ::4497520 
::22851131abs ::Sizes ::Raghu ::BouganimFPV01 
::RDBMS ::Tanin ::Desmarais ::Vaidya 
::Annamalai ::Concurrent ::KappelS91 ::SchallehnSS02 
::Dalvi ::Dinh ::WolskiB98 ::Mass 
::SaltonG83 ::Murat ::P004 ::Array 
::LiLHC06 ::dpds ::Aggregates ::CormodeKT08 
::Determine ::4497492 ::Kunath ::Haojun 
::Internet ::DeWittKLPY94 ::BeckmannHKN06 ::276 
::Antoshenkov93 ::Ramanath ::Timothy ::Liedes 
::NeumannHM05 ::415 ::WuEDCKAS08 ::Triage 
::HeS06 ::Clusters ::MyllymakiL95 ::1627 
::AgrawalS95 ::LimN01 ::Ouzzani ::Keyword 
::DanK95 ::AbiteboulK92 ::Norm ::1042 
::Unlinkable ::Mylopoulos ::307 ::Generalization 
::YuHC05 ::Seung ::Jagan ::Pfoser 
::Gong ::4497432 ::1539 ::ChorLRS86 
::Telecom ::1052 ::P276 ::Images 
::FaloutsosK94 ::KuwabaraT05 ::LiebermanSS08 ::CormodeKT08 
::Mauroux ::Toivonen ::1513 ::What 
::Jrgen ::1563 ::Compiled ::Replicated 
::Legaria ::Kanagal ::1396 ::ZhouOT05 
::Afanasiev ::SPARK ::Ulrich ::Lamport78 
::Vaisman ::Bonnet ::2008 ::4497495 
::Expressions ::Bhlen ::Panella ::BrantnerHKM05 
::Moving ::Sensor ::LeeKC01 ::Inseok 
::MorishimaNISK08 ::22850403abs ::WebFountain ::1600 
::489 ::cover ::Andritsos ::DalkilicGR97 
::ZhangTS02 ::764 ::org ::HouJ06 
::15310473abs ::GantiCM05 ::Sihem ::199 
::IshikawaKOYKK98 ::Arnd ::Substructures ::Yaping 
::463 ::Dual ::Transportation ::Stanislav 
::Inputs ::IWill ::TALE ::519 
::van ::Jialie ::Gemulla ::icdt 
::260 ::376 ::991 ::Hoffmann 
::ChenSZ05 ::4497460 ::Alps ::824 
::Explicit ::225 ::Circumstances ::WilkesGSS96 
::RaoPML06 ::AlexeCMT08 ::584 ::Bausch 
::DeRoseCGSDBZ08 ::Quang ::Authorization ::Melanie 
::Jrg ::Systems ::LowTLL02 ::Furche 
::Made ::Arie ::Koki ::914858 
::Rosaci ::4497413 ::Kemper ::22851048abs 
::ChengCMC08 ::Peer ::Torvik ::dimensional 
::Star ::Intensive ::Stefani ::Syntactic 
::Class ::SmithS96 ::JainDG08 ::YipCN05 
::Predator ::P254 ::20 ::4497525 
::Zou ::650 ::Arif ::Shu 
::GoyalHKMS96 ::PeiHPCDH01 ::Group87 ::Dunn 
::Duplicates ::754 ::384 ::ShkapenyukS02 
::Volumes ::1143 ::Luk ::KeidlKKK02 
::Atallah ::Nick ::Liu98 ::Conditional 
::Hett ::Zadeh65 ::Valduriez ::914813 
::1147 ::Tiong ::Languages ::GedikWY08 
::SavasereON95 ::XM ::Eng ::GuptaM95 
::Maxim ::BestR85 ::Graphics ::793 
::Fabio ::ChongDFSYJTK01 ::804 ::Denzel 
