::SedmidubskyBDZ08 ::22850545 
::182 ::SayalCDS02 
::PitouraT08 ::HamakawaR94 
::Khaitan ::Zhanhuai 
::335 ::Exponentially 
::Taylor ::SellentinM97 
::9 ::4497475 
::Boedihardjo ::McWherterSAH05 
::1465 ::Transformations 
::Goethals ::Pedersen 
::Device ::Papadimitriou 
::Corruption ::Haixun 
::MOLAP ::Yiu 
::isci ::Essence 
::1358 ::Component 
::Xiaohong ::NakamuraAOS93 
::978 ::Stop 
::Chen ::Madlmayr 
::15310331 ::Tim 
::Fixed ::1631 
::Madden ::552 
::LiuYGS98 ::Jiexing 
::Polynomial ::Divyakant 
::Goldstein ::Peer 
::22851118abs ::1092 
::Deb ::Local 
::Enabled ::Orphan 
::456 ::Omiecinski 
::Usama ::Ramon 
::Petko ::Nie 
::Techniques ::Arshad 
::Framework ::Benjelloun 
::Goethals ::Comer79 
::P276 ::13 
::Tadashi ::Michalis 
::Abowd ::McKenna 
::Shimada ::LiL08 
::Volker ::Theodore 
::22851129abs ::PuHK06 
::Skylines ::Expiration 
::Liadan ::22850326abs 
::192 ::Juliana 
::Koch ::PapakonstantinouGU96 
::Zwaenepoel ::Hellerstein 
::Daniel ::DB 
::Kian ::1564 
::GonzalezHLK06 ::Ho 
::1611 ::Fuzzy 
::914853 ::CLAN 
::Haritsa ::Systematic 
::Jeff ::15310129abs 
::1071 ::4497420 
::BorkarCELWW08 ::Enderle 
::Meichun ::Iwen 
::4497506 ::String 
::Devices ::Zadrozny 
::Wiederhold93 ::TaniguchiS05 
::Ramamritham ::22850403abs 
::Bouganim ::549 
::Shigeru ::137 
::GhandeharizadehHJ92 ::OzdenRS98 
::Alternative ::22850705abs 
::Gignere ::DREAM 
::Sideways ::Win 
::Ladin ::AliZTK08 
::WangRM06 ::WilschutFA95 
::HwangC05 ::JakobGHN05 
::Kyun ::Omran 
::Manuel ::4497514 
::Standing ::Yong 
::Braynard ::AmmannJR97 
::AbiteboulHB99 ::Paolo 
::TaoXP06 ::1137 
::Govi ::Authority 
::22851122abs ::CASTLE 
::RaoM06 ::P598 
::O ::Accurate 
::14 ::Knowledge 
::LieuwenD92 ::MohanKSW06 
::Maruyama ::Restructuring 
::Anant ::406 
::Jiaheng ::acr 
::DayDIKG95 ::Pilania 
::Das ::Welch84 
::SubrahmanianJ96 ::VBI 
::754 ::1022 
::Documents ::wi 
::Oxley ::Communities 
::Pasi ::Haslam 
::914819 ::Mirette 
::Gnther ::Representation 
::Kreplin ::GionisMT08 
::ViEWNet ::Beckmann 
::MannilaR94 ::Alpa 
::ColbyCHJJMSW98 ::BINGO 
::Babu ::Role 
::WangZZ06 ::Database 
::Reduction ::Dialani 
::Masatoshi ::Understanding 
::Simulation ::927 
::Chamberlain ::Annotator 
::CormenLR89 ::130 
::GraefeM93 ::Just 
::1403 ::Moerkotte 
::Takahiro ::Mining 
::CocciTDS08 ::AdibaL80 
::Architecture ::Marts 
::Imai ::Places 
::RaoLLPS01 ::LangOS96 
::126 ::db 
::GalpinBJFP08 ::Govindaraju 
::370 ::Aidong 
::Labrinidis ::4497497 
::SheuW06 ::1343 
::GeorgakopoulosHM96 ::Gupta98 
::229 ::Savage 
::SistlaWCD97 ::Charging 
::Cudre ::Charuta 
