dl::XingZH05 4497591::Shrivastava ::Syntactic ::Lipyeow ::designed 
Blok::EltabakhEA06 1148::Aameek ::GibbsBT94 ::Barga ::15310357abs 
Paraskevas::Savage HanF95::253 ::Areal ::1322 ::Aggarwal 
SmithS96::667 KamathR98::PeiroASW98 ::4497618 ::Li ::31 
Gting::Shimada Hubert::Maps ::BeckleyER85 ::Bonnet ::1035 
Negative::Egemen Doan::Ashutosh ::BonchiGLOPT06 ::SAN ::Loredana 
15310264::Schubert 81::1321 ::SG ::Naacke ::BernsteinHM90 
Mahadevan::Nori Barbara::LiHYX05 ::Bukhres ::1429 ::ZhangLRB08 
Fully::Vasileios Abowd::PapadiasT97 ::Atzeni ::1534 ::914812 
Lupu::Christine Qigang::Replication ::ChenH01 ::Opportunities ::Denzel 
datamine::Paradigms 266::Souripriya ::Yoji ::Prabhakaran ::Configurable 
Gerhard::pods 1483::Ching ::Fast ::164 ::557 
Geoinformation::Yasushi SkytJP02::Vladislav ::362 ::LiuL02 ::ChonAA02 
MendelzonMM96::Good 568::Panel ::86 ::4497458 ::YangL01 
Science::Feltes StonebrakerADNR93::Harchol ::Wang ::1047 ::22851141 
Thiagarajan::914834 Gaurav::Different ::Prioritization ::Draper ::488 
Checking::Getting PopivanovM02::Wrapper ::WangRL08 ::Farfn ::Mary 
DewriRRW08::94 Mehrotra::FernandezFKLS97 ::22850386abs ::Zina ::Provide 
WolskiB98::Practice Ken::Administration ::1509 ::Smalheiser ::Automata 
1330::472 15310498::P412 ::Kreutz ::Redo ::22850594abs 
1379::Harinarayan 1103::XiaZ06 ::Bhm ::Megalooikonomou ::4497443 
Athena::513 Periodic::Ziarko91 ::1307 ::Holger ::Baile 
1533::1473 X06c::Discovery ::P456 ::SubrahmanianJ96 ::Hershberger 
256::4497398 Automation::22850081abs ::150 ::Against ::Providing 
Snodgrass95::Atallah Rajagopalan::Hongyan ::Shared ::Ramez ::P494 
KoblerBCH95::Dmitry Characterization::Wavelets ::SuWL06 ::Thakkar ::Bossi 
1518::Pedersen Inclusion::Potamias ::fodo ::Operations ::Imperatives 
Offline::00 Carson::Huahai ::1352 ::176 ::Howe 
isci::GounarisYSD08 Marts::Maximum ::524 ::StonebrakerK91 ::MalkemusPBC05 
El::236 WangHYYY06::Efficiently ::338 ::P069 ::Selections 
CampenXRGFSPL08::Mahadevan 1479::Hwang ::Aleksandra ::Goetz ::AbererH02 
Prefix::tse Rosenthal::DeRose ::914858 ::606 ::Mumtaz 
Fromont::Query 1354::DSI ::1470 ::Zabback ::Marlow 
4497564::ROLAP 1376::ShivakumarGC98 ::1500 ::AndritsosFM06 ::Niels 
301::Moon P252::983 ::db ::SayalCDS02 ::Identifiers 
YouPL05::Small 68::Spyratos ::Industrial ::465 ::Across 
Hannu::BaralisCMPRR97 Koloniari::Athitsos ::Zaane ::Pu ::ChongDFSYJTK01 
864::Jens PapadopoulosM97::Power ::Heng ::Yuni ::Mohamed 
89::15310441abs ModelGen::1591 ::Yuan ::1361 ::Gryz98 
Koustuv::Construction Oriented::Lupu ::Inseok ::Cluster ::714 
Cal::LinJF94 625::Bentley75 ::1331 ::Nicole ::Samuel 
Dunham::436 XDS::4497589 ::Accessible ::1503 ::DREAM 
PeiHL01::Yan Aleksandras::Patterson ::Tam ::98 ::1001 
Christian::Ramasamy Deepak::Elmagarmid ::PudiH02 ::Shafiq ::WangZZ06 
Sergey::360 QPipe::914811 ::914868 ::Gedik ::Stphane 
Burdick::Compliance Make::Kevin ::147 ::Nabar ::csdl 
Documents::Reducers Match::PapadiasTKZ02 ::803 ::Hse ::Kossmann 
Condit::Intelligence Automating::Toshinari ::Global ::Error ::1137 
Zadrozny::914855 549::icde ::Developing ::22850341abs ::v8 
P144::MD 241::Netz ::292 ::5 ::236 
