Tyrone::LiuC08 HanYY06::Collections Wayne::256 ::4497503 ::Simon 
1571::CruzALRZ97 1456::Ben 914819::Sanjeet ::ATM ::Morzy93 
Charu::Valduriez87 Henrich96::22850927abs Goyal::Glimcher ::IpeirotisNCG05 ::Scott 
Kihong::Dirk Rundensteiner92::MD 4497553::Joon ::Govindarajan ::Shantanu 
4497471::CarminatiFB05 Broadcast::ChuK89 SilberschatzKS97::Synthesizing ::cacm ::Darrell 
Places::462 BeckerHF93::GuPYC08 Telematics::Conscious ::Narang ::MegalooikonomouWLF05 
Dense::Wensheng 112::within Networks::494 ::AbiteboulCM95 ::4497522 
Chi::Ramez PuL91::AgrawalIS93 WangBTD08::Engine ::Underprovisioned ::Boulakia 
4497513::Johann Client::sp Whose::Decomposition ::Wisnesky ::SilberschatzKS97 
Evdokimov::4497513 Arnab::Elmasri ChaudhuriGK06::Mariano ::Informative ::345 
QoSMig::1159 Shurug::4497624 Wisnesky::Han ::Density ::640 
SmithC96::LimN01 Tran::SavasereON95 Chong::Umeshwar ::WuB98 ::Tears 
5::1258 Kim::Laks HungDS05::Prasanna ::15310673abs ::Vrhovnik 
159::MIX Integratio::1454 5::Brett ::Overview ::KellerB96 
dbpl::Janine Hongjun::64 Orlando::JensenSS94 ::Graphitti ::Santos 
Kunath::172 Geerts::Hmmer CammertHKRSSZ06::1427 ::Road ::1047 
KornackerMH97::Methodical Discriminant::Plans ArefS94::914814 ::22850403abs ::485 
JainS94::Yuen MobiQual::BabuDM08 Jun::Qing ::Xiaofang ::1330 
Effect::Shrira Antijoin::Collection 4497500::Preemptive ::Shadmon ::Levy 
15310323::Materialization Shasha::P126 BhideDD93::AbiteboulHB99 ::Deng ::Fegaras 
Devices::22850730abs Evolution::NguyenD08 Paolo::Glimcher ::ChenC92 ::1143 
TheodoridisSS98::22851144 Masahiko::Willy Safeguarding::ChaudhuriGKLLM98 ::Sarawagi97 ::1286 
Ahmet::DBLP Cornelius::Reza Shantanu::Maurice ::4497498 ::With 
914876::Dinesh Jiang::Beng Quantitative::FriedmanBF77 ::Third ::Ono 
Xiaoming::Mahmood Kutsch::AdibaL80 Allocation::adl ::Edward ::668 
etintemel::458 Gaurav::22851140 Sanjay::Maxim ::PiatetskyF91 ::Gil 
Your::Subbarao 43::Flow Roy::BunemanDS95 ::Gustavo ::Pham 
Divyakant::Chuan P494::DescribeX Precision::icde2005 ::Weaver ::15310029abs 
Yip::Aleksandra 59::KrishnaprasadLMWA05 Predicates::Liu ::DeWitt ::Plans 
1460::Hartmut Habich::BestR85 297::AnwarMC93 ::scale ::Franoise 
