::Neel ::412 
::BorkarCELWW08 ::Egemen 
::inproceedings ::4497479 
::Fekete ::BryCDFOS05 
::Ramanath ::Jagrati 
::jacm ::Patterson 
::Huaiyu ::4497460 
::GeertsKM06 ::Zhewei 
::Cost ::1120 
::Donahoo ::AssentWS06 
::MohanN91 ::10010173abs 
::P254 ::FAST 
::4497585 ::Pei 
::Win ::6 
::Supporting ::424 
::Seshadri01 ::Graefe98 
::1592 ::DanK95 
::Elke ::Di 
::LianC08 ::Vassilis 
::Areal ::Statistical 
::FelipeHR08 ::Anastasios 
::Tassa ::4497438 
::usenix ::BrunoC08 
::Nabar ::NabeelB08 
::Perego ::NievergeltHS84 
::Fuzzy ::dimensional 
::GoldbergR83 ::Andrs 
::Kitsuregawa ::Lineage 
::P370 ::party 
::179 ::GummadiLGSH05 
::Wolfson ::BentleyM80 
::Density ::Inferring 
::Windows ::Omran 
::914877 ::GravanoGT94 
::Adriana ::LiSR92 
::Algorithm ::Y 
::Mehr ::22850668abs 
::Mong ::Lynch83 
::237 ::22850717abs 
::ZhangOAI06 ::Workloads 
::Lup ::Ipeirotis 
::Ganti ::1516 
::Yossef ::Filling 
::Kang ::RuemmlerW93 
::Client ::4497447 
::ChanET05 ::Hang 
::Nectaria ::Prioritization 
::Robinson81 ::4497419 
::Distributors ::SilbersteinBY06 
::AtallahCK08 ::Uwe 
::514 ::BouganimDV96 
::Papotti ::KoudasS05 
::15310287abs ::Di 
::Mller ::Decker 
::PuKH88 ::dpd 
::Marian ::MalikBC05 
::Systematic ::JeungLSZ08 
::Louiqa ::KashimaTINHEF05 
::101 ::Secure 
::ChenDZ06 ::FukudaMMT96 
::QuassRSUW95 ::P392 
::22851048abs ::1106 
::NgR95 ::15310245abs 
::CastellanosBR08 ::Correction 
::WilschutFA95 ::Non 
::456 ::Semistructured 
::Dragut ::Kersten 
::Melliyal ::micro 
::MDL ::Mark 
::Teixeira ::Rjaibi 
::Cui ::Castro 
::AfanasievGMRT08 ::Road 
::Mann ::1379 
::4497422 ::External 
::Synopsis ::BrantnerKMH06 
::DeaconSW94 ::FaradjianGB02 
::CormodeIKM02 ::Olu 
::Pierre ::Pinar 
::4497403 ::Tasks 
::Klaus ::JainDG08 
::rtdb ::granularity 
::Set ::MeoPC96 
::Constructing ::LeuteneggerL98 
::Qigang ::Gulbeden 
::TaoXP06 ::Pavel 
::Balazinska ::1551 
::Semantic ::Analysis 
::Publishing ::Probability 
::KauT94 ::1527 
