::Banich ::BatoryBGSTTW88 ::Xiao ::RaffioBCPH08 
::WangZZ06 ::oodbs ::Minji ::Zilio 
::Dyreson ::ijcai ::SPP ::Influence 
::Clients ::Kwietniewski ::Stacy ::FungYLY05 
::Shurug ::Chih ::Feasibility ::Solutions 
::Masaaki ::Anonymizing ::Fei ::Samaras 
::Cluster ::Miyuki ::Computations ::YangW01 
::ArefS94 ::KobayashiLKWY05 ::BrinkhoffKS93 ::Huaiyu 
::1267 ::Ntoulas ::Marc ::Windhouwer 
::Singh ::Neumann ::Bitmap ::Structured 
::BlossomTree ::Ma ::P066 ::Exploiting 
::Moustafa ::CormodeIKM02 ::ZhouZQZ06 ::Theoni 
::22851144 ::inWireless ::JoshiJ08 ::Devarakonda 
::Annotation ::SunPF05 ::XPath ::Shkapenyuk 
::48 ::Commit ::Schek ::GangerK97 
::Sizes ::Mariano ::P342 ::Capturing 
::RDBMSs ::Susanne ::KapitskaiaTV97 ::4497425 
::Punctuation ::Specialization ::4497518 ::McCannKSVSD05 
::Yalamanchi ::843 ::P126 ::ElmeleegyOE08 
::Mendez ::LiedesW06 ::1331 ::Weihl88 
::ChaudhuriNR08 ::4497568 ::Repositories ::Rosenthal 
::417 ::307 ::Documents ::1102 
::308 ::FarfanHRB08 ::4497418 ::Regulation 
::Mittal ::Connected ::22850403abs ::MoonWL01 
::1468 ::Serialization ::Pattern ::join 
::4497496 ::Telle ::Mong ::367 
::Result ::Vladislav ::KimGBW90 ::5 
::Dina ::Right ::htm ::mg 
::CallanLC95 ::4497610 ::FranklinCL93 ::191 
::Gautam ::625 ::Malaika ::Margo 
::Communication ::Taming ::Evaggelia ::Relative 
::Objective ::JiangMCS08 ::Sequence ::TaoPZL05 
::el ::support ::Majumder ::Kenneth 
::Papadias ::SubrahmanianJ96 ::IdreosTK06 ::Zina 
::Weld ::IlyasA05 ::546 ::841 
::Warping ::New ::NguGBCDB02 ::LupuY06 
::ViteX ::Wide ::HanMWS01 ::1109 
::Conference ::Yibin ::DasguptaGJSV05 ::Simplicity 
::Agarwal ::89 ::Amer ::Asonov 
::4497480 ::Light ::Ming ::Freire 
::P174 ::892 ::Gukal ::sub 
::on ::Decade ::22850841abs ::Kyuseok 
::Susanne ::Bounded ::4497434 ::Astoria 
::JinGJA06 ::Kou ::345 ::Deep 
::ChenC92 ::P494 ::Jindan ::1337 
::Thakkar ::Vetle ::McKenna ::LangOS96 
::Swaroop ::Orenstein89 ::Very ::914838 
::Babu ::22850081abs ::Sadhukhan ::Nejdl 
::22850927abs ::Chendong ::Krmer ::Andrei 
::1470 ::ZhangRL96 ::Feher ::PinarTF05 
::AHYDS ::1627 ::Clustered ::Heinlein01 
::Semantics ::Quasi ::Ahn ::272 
::1464 ::BOXes ::Re ::ArocenaM98 
::UchiyamaOH05 ::HuangG01 ::Karlsson ::KimP88 
::1360 ::Overview ::Longxing ::395 
::Xiaojin ::Madlmayr ::4497630 ::4497459 
::YiN05 ::Compliance ::Andrew ::168 
::Similar ::Lookups ::Forms ::Mor 
::Luis ::HjelsvoldM94 ::business ::Lag 
::22850155abs ::Papadias ::LeeE01 ::Integrating 
::1200 ::SelingerACLP79 ::Machanavajjhala ::ChawatheAW98 
::DengSXL06 ::15310001 ::Nigel ::Hoel 
::Koki ::Sun ::Imran ::ChongDFSYJTK01 
::1106 ::1296 ::SarawagiS96 ::Markl 
::AmzaCZ05 ::Chin ::Ari ::1276 
::MAN ::Sarbanes ::Ouri ::309 
::500 ::Distance ::DeWittKOSSW84 ::ACXESS 
::Greene89 ::Arno ::Generato ::Al 
::Publish ::724 ::22850258abs ::P522 
::HOPI ::Fegaras08 ::Pathak01 ::Gregory 
::JiangMCS08 ::Alexandros ::FungWY05 ::CPU 
::Berners ::Zhiyuan ::Deep ::Aggregation 
::ZhangG08 ::IshikawaSKMMIAY93 ::1327 ::HaraHTN97 
::ShafiqSBG06 ::Rafiei ::Simultaneous ::22850606abs 
::Johnson98 ::Kyuseok ::Feasibility ::Object 
::HershbergerSS06 ::22850580abs ::Luis ::Precision 
::1361 ::using ::BryanEF08 ::150 
::ObermeierBHCS08 ::of ::Wilfred ::Teoh 
::Characterizing ::GedikWY08 ::ChiuehP05 ::of 
::369 ::LeeSZ05 ::Krishnamurthy ::PabmanabhanG06 
::YinC05 ::1485 ::Weining ::22850545 
::Horng ::Riqiang ::Pautasso ::456 
::380 ::43 ::Derivation ::STAG 
::Space ::744 ::Progress ::Real 
::4497550 ::Relative ::SarmaBHW06 ::Amol 
::Bruce ::Informative ::BayardoA05 ::User 
::1125 ::15310270 ::Imperatives ::4497503 
::15310567abs ::Collaborative ::Hon ::Stefanakis 
