::Bentley80 ::81 
::P201 ::Patel 
::Ryvkina ::606 
::Jrg ::1583 
::22851143abs ::Venkatesh 
::Star ::AbiteboulV97 
::22851118abs ::Blok 
::JadavGL97 ::RoussopoulosK86 
::Moshchuk ::587 
::Jian ::Hakan 
::GuhaKSY06 ::BentleyF79 
::566 ::CoT 
::Reorganize ::178 
::Kumar ::icde98 
::Terzi ::Dale 
::1114 ::Bouganim 
::CASTLE ::Low 
::YipCN05 ::Astoria 
::deductive ::Tryfona 
::Collections ::Processing 
::Size ::Search 
::Ferhatosmanoglu ::Brian 
::Sales ::StreamingWindow 
::22850353 ::clustering 
::Thakkar ::Leymann 
::PeiroASW98 ::Dayns 
::Interpretation ::ONeilOW93 
::ChanSL98 ::1423 
::4497629 ::Wayne 
::Mukhopadhyay ::Voronkov 
::Vassiliadis ::AbulBN08 
::Applications ::Honishi 
::Oracle8 ::BrunoGM02 
::ManjhiSDO05 ::sigmetrics 
::bncod ::Bases 
::Fudos ::DeWittKLPY94 
::Asymmetric ::Stop 
::Uncovering ::BrinDG95 
::MAFIA ::LeuteneggerL98 
::Maintenance ::Mirek 
::1339 ::LaiTB05 
::Haejoong ::Archetypes 
::Agrawal ::Schmidt 
::320 ::Qun 
::Matchings ::165 
::GounarisPSFSW06 ::Features 
::P174 ::Shetal 
::4497565 ::SarmaTW08 
::Milano ::SimitsisVS05 
::ArefCEFGHIMPRTTTVZ02 ::German 
::1081 ::Balanced 
::914846 ::Scheuer 
::Ewen ::Skyline 
::trees ::15310029abs 
::Donald ::554 
::Aduri ::375 
::LiuYCW08 ::4497407 
::Agarwal ::4497443 
::Barton ::Dual 
::Murat ::1409 
::Schwarzkopf ::1306 
::Hashing ::22851129abs 
::Linkage ::22851100 
::Klaus ::Ip 
::Ranked ::Shantanu 
::Enterprise ::Kashyap 
::1317 ::Chaudhuri 
::Imran ::Products 
::Vanitha ::Differential 
::Pseudo ::Kazuhito 
::Marlon ::1355 
::0 ::LiC98 
::732 ::ChenDZ06 
::between ::395 
::Building ::TaoXLZ08 
::22850157abs ::Physical 
::Creation ::Authors 
::Trombetta ::HasanM94 
::Ping ::Improve 
::HjaltasonS95 ::Longxing 
::Freeston87 ::Leskovec 
::Facet ::Weikum91 
::Grouping ::15310053abs 
::Wei ::Basket 
::1092 ::Luis 
::pdis ::22850388abs 
::KashyapRRS08 ::1092 
::Versatile ::Coherency 
::Marios ::HammerST05 
::Intermittently ::AbulBN08 
::BarbaraI94 ::CaiHH08 
::22850485 ::Scenarios 
::EdmundsMSS05 ::J 
::future ::VlachouDNV08 
::Zeng ::Intelligent 
::Group87 ::ZouC08 
::1453 ::Lindsay 
::Henrich98 ::Vaithyanathan 
::Items ::Shuqing 
::AnciauxBHPA08 ::Protocols 
::Jermaine ::15310473abs 
::Andras ::Kazuhito 
::10010131abs ::Zhang 
::Tool ::Weighted 
::P602 ::LangOS96 
::Holger ::Domenico 
::Dinh ::1459 
::and ::Lal 
::DB ::Stephen 
::22850865abs ::Sobulo 
::Weikum ::Independent 
::DeligiannakisSKVD08 ::Quanqing 
::Outliers ::Andreas 
::Radeschutz ::Bertram 
::HellersteinNP95 ::4497496 
::Kanne ::Marko 
::Pathak01 ::4497475 
::Lucchese ::JoshiJ06 
::Factorization ::Ntarmos 
::Chris ::ROLAP 
::Pin ::TrombettaJBB08 
::4497405 ::Qili 
::Make ::LiSR92 
::Martin ::Indices 
::Chai ::ISOMER 
::Selinger ::Added 
::Language ::P201 
::Cubes ::Madden 
::Demand ::Khuzaima 
::1403 ::Olsen 
::ReissH05 ::Machanavajjhala 
::Ashish ::15310064abs 
::Neumann ::LynchS88 
::832 ::Koudas 
::Jonathan ::1318 
::Sismanis ::Mitch 
::Jeffrey ::YanOZ08 
::Liu98 ::Traina 
::22850415abs ::Cattell94 
::v8 ::15310271 
