::Garbage ::314 ::Gyssens 
::Iakovos ::relational ::Do 
::Zeleznikow ::Queensland ::Durusoy 
::Component ::Placement ::Industrial 
::Poyet ::Jonathan ::Jaewoo 
::Bengt ::Rosenthal ::216 
::Completeness ::Dozier ::Semistructured 
::Himanshu ::191 ::108 
::95 ::Salton ::Architectures 
::Effelsberg ::an ::81 
::Vervaet ::Inheritance ::Rosenthal 
::Triggers ::Vincini ::GOOD 
::Revisiting ::Smith ::Must 
::Kent ::Yossi ::Desktop 
::560 ::Roger ::351 
::Vijay ::Estimation ::populated 
::Path ::Larry ::General 
::Krll ::McCarthy ::Meckler 
::Mitschang ::Mediator ::Kenneth 
::Oliver ::Roussopoulos ::Ingres 
::Hash ::Mariano ::Conflict 
::Mathematical ::428 ::Alfons 
::Pirotte ::Elisa ::Wisconsin 
::Crisis ::529 ::Nita 
::Stefan ::Faloutsos ::Concurrent 
::Matthew ::Fritz ::Schneider 
::Chawathe ::Florescu ::Manifesto 
::493 ::Hadzilacos ::Vijay 
::Jason ::Jorge ::D 
::Programming ::110 ::Saltor 
::Kitagawa ::wish ::Shmueli 
::Commentary ::Pixel ::Ozkan 
::Recursion ::Informix ::Notions 
::Vance ::Leonardo ::Neptune 
::Deppe ::Toolbox ::301 
::Trickey ::Modular ::Sema 
::Beverly ::Retention ::Lewis 
::Case ::Mechanisms ::Anil 
::Shekita ::Fabret ::Rulebase 
::Kincade ::Srivastava ::Houtsma 
::DOODLE ::Devor ::Recent 
::Paul ::Lamersdorf ::Burrows 
::Megiddo ::Globally ::Luo 
::Features ::McKenzie ::Bauzer 
::Eui ::ACM ::ZOO 
::515 ::Shin ::John 
::Science ::Buffers ::Marcus 
::REpository ::Winslett ::File 
::Livny ::Eriksson ::440 
::Paul ::Vaskevitch ::3 
::Restrictions ::Malkemus ::Satish 
::Nicolas ::173 ::Myers 
::12 ::Clemens ::Yun 
::Yahiko ::Datasets ::Spyratos 
::Ensuring ::Legaria ::Disjunctions 
::Searching ::Mauricio ::Bhm 
::Harinarayan ::W ::Chih 
::Statistical ::Tsuei ::IM 
::There ::Alejandro ::Silvana 
::119 ::Kosmas ::Kitagawa 
::GENESYS ::Associative ::Operation 
::Generating ::31 ::Scientific 
::Web ::by ::Johnson 
::Helland ::Eick ::261 
::STanford ::Jacek ::478 
::Tarantino ::Ramana ::Kossmann 
::Nodine ::media ::Marek 
::Specifications ::18 ::416 
::Packer ::Ilker ::Carlo 
::Completeness ::59 ::X3 
::Sethi ::205 ::Ganesh 
::Garofalakis ::Basket ::Translation 
::Mendona ::Lucas ::authors 
::103 ::Deduction ::Compiling 
::Later ::Declustering ::480 
::an ::Between ::Predicting 
::McCure ::Taube ::Niki 
::G ::Neptune ::Kitagawa 
::Phillip ::driven ::Michle 
::Firm ::Pedersen ::Aggregate 
::Precise ::Rajiv ::Andler 
::Brief ::Optimality ::Model 
::Vijay ::393 ::Opportunities 
::Tansel ::COSS ::Thomas 
::Madnick ::Muntz ::Using 
::Complete ::Wong ::Girish 
::Fatima ::Three ::Optimization 
::Displays ::Loops ::Alex 
::authors ::Yasuhiko ::al 
::Gonzalo ::Synthetic ::461 
::Bryce ::Laursen ::Ohori 
::Peter ::76 ::Summaries 
::376 ::469 ::Hugo 
::Extensible ::Rashid ::Qin 
::Organization ::Taosong ::Rona 
::Predicate ::Divesh ::Wei 
::Simulation ::Reconciliation ::Krzysztof 
::Administration ::Nolan ::TPC 
::Prolog ::DAFTG ::Evrendilek 
::492 ::Serge ::Deductive 
::Machlin ::Index ::Event 
::Roy ::Ee ::Materialized 
::Inapplicable ::224 ::Mumick 
::Andrea ::Descollonges ::Evrendilek 
::Hppler ::Applicable ::Index 
::Biskup ::Capabilities ::Seluk 
::Solving ::175 ::Stuckey 
::Characteristics ::Kincade ::EUG 
::Ahlberg ::Silvio ::Hide 
::484 ::and ::Pratt 
::401 ::Desktop ::Assisted 
::Peng ::Maintaining ::341 
::Soumitra ::Shutdown ::Eich 
::Ramez ::Jun ::Hou 
::528 ::Xiaolei ::Betty 
::78 ::Victor ::Yates 
::Mogi ::30 ::Narain 
::285 ::Machines ::44 
::232 ::Browsing ::108 
::Building ::Tool ::Gkhan 
::358 ::Access ::Bolour 
::Standardization ::Commitment ::Hammer 
::Matias ::450 ::Penalty 
::Disjunctions ::Functional ::Manifesto 
::Mauricio ::Kifer ::Backup 
::OLAP ::Livny ::567 
::Common ::Utilizing ::Qingshan 
::VMS ::Bruce ::Prospector 
::477 ::Sciore ::Optimized 
::Tokuyama ::Swarup ::Michele 
::Mobile ::J ::Kamel 
::Descollonges ::Skeen ::Multiprocessor 
::the ::Abstract ::Structure 
::time ::122 ::Conflict 
::Thuraisingham ::site ::Doan 
::Expected ::Clark ::Hubert 
::Beach ::Gawlick ::Ins 
::Konrad ::501 ::Into 
::Complete ::Richard ::Adelberg 
::Reformulated ::Cichocki ::Broadcast 
::Tutorial ::89 ::171 
::Robert ::137 ::48 
::477 ::564 ::Rundensteiner 
::Interoperable ::Sybase ::STRIP 
::67 ::243 ::Sema 
::Agent ::Malcolm ::Yves 
::Sleepers ::Mendona ::PREDATOR 
::relational ::Liuba ::Stephan 
::Kieling ::Mayer ::Saxton 
::360 ::325 ::Formal 
::Pena ::Clemens ::Sort 
::Haim ::Kuntz ::Kotidis 
::Jerry ::Val ::Salzberg 
::Carrie ::Module ::Xiangyu 
::Atul ::Gehani ::Illustra 
::Bltzingsloewen ::Fine ::Donjerkovic 
::Eisenberg ::Rajiv ::351 
::Weikum ::endPage ::Jhingran 
::Norio ::Not ::498 
::Bukhres ::Hrder ::Davison 
::Darwen ::Stephan ::Mannino 
::Walker ::Linkage ::Cowley 
::Gucht ::Interfaces ::Rengarajan 
::Bukhres ::Exploiting ::Not 
::Karim ::Images ::287 
::STEP ::Masum ::DIPS 
::Koksal ::Full ::UDK 
::Reordering ::Duschka ::Marti 
::152 ::Qin ::Lois 
::Pedagogic ::Objectives ::Enforce 
::Analyti ::Markos ::Mogi 
::491 ::Finkelstein ::Takashi 
::Warren ::358 ::Mosfeq 
::Sundaresan ::Concepts ::Gang 
::RISC ::17 ::BCNF 
::Bergamaschi ::Logging ::Optimization 
::580 ::Albert ::Ralf 
::Piyush ::Doherty ::Alejandro 
::Logging ::Use ::Bhashyam 
::Wei ::Separately ::Metadata 
::Viewpoint ::Gnther ::Bryan 
::Resnick ::Component ::Shalom 
::Zirm ::Sullivan ::Message 
::Attribute ::337 ::GeoMiner 
::Jagadish ::Visual ::Fast 
::Hartson ::Testbed ::S 
::Engine ::Yihong ::Viswanath 
::8 ::Fritz ::Rundensteiner 
::Lo ::BIRCH ::Amouroux 
::Mohammed ::Kiran ::Integrated 
::Assurance ::time ::Approximations 
::Repository ::Group ::Dallan 
::Toby ::Up ::Arrays 
::Growing ::Reasoning ::Spyros 
::236 ::Cowley ::Norrie 
::Davison ::Deduction ::Visualizations 
::Silvana ::J ::Laursen 
::Wrappers ::Activity ::Distributor 
::Lodge ::Rational ::560 
::Kocharekar ::Correlations ::Anonymous 
::Kowarschick ::Zou ::Anant 
::50 ::Raghu ::Jamison 
::Wileden ::Queens ::Redundant 
::Brigitte ::Trickey ::Said 
::Expert ::Galindo ::Rahimi 
::PRIMA ::Koschel ::518 
::BUCKY ::SEMCOG ::Zhao 
::Partition ::Frew ::Shea 
::Schuble ::Memory ::UniSQL 
::Hongjun ::Suzanne ::Coterie 
::Orthogonal ::Disjunction ::Durusoy 
::Nodine ::Mandy ::Juergen 
::Daniel ::Janus ::Counting 
::ichi ::Gnther ::Constructing 
::Kanellakis ::Beigel ::Behaviour 
::539 ::293 ::Extendeing 
::Kevin ::Thuraisingham ::Capabilities 
::Bifocal ::Davidson ::Jonsson 
::224 ::Raymond ::Juergen 
::Cardenas ::493 ::286 
::479 ::Implication ::Ellis 
::Mathematical ::Krzysztof ::Sycara 
::ITRI ::Attribute ::Alain 
::Continuous ::Standards ::5 
::View ::Bushy ::CAD 
::Hppler ::Date ::Margulies 
::551 ::Ra ::Kosmas 
::Manipulating ::ADS ::Hou 
::Sharon ::Executions ::Arvola 
::Commercial ::Jeanine ::NSF 
::Versioning ::Leung ::13 
::Aggregation ::Flokstra ::Jordan 
::Gordon ::Design ::ACT 
::Optimizer ::1990 ::Odysseas 
::Giuseppe ::Consens ::Shmueli 
::1994 ::SQL ::Stavros 
::Connection ::Rishiyur ::Crash 
::232 ::Binto ::335 
::62 ::Smith ::Brodie 
::Siegel ::Stefanovic ::207 
::Z ::Edward ::Ron 
::Nabil ::Symposium ::Baader 
::Davidson ::Attribute ::Materialized 
::Lore ::284 ::Ferri 
::Suckow ::Ramamohanarao ::Mattos 
::502 ::Ooi ::Sellis 
::O2 ::Sure ::Quiescing 
::Dynamically ::Matthew ::Fritz 
::173 ::Walch ::Scott 
::Technology ::Commentary ::Neptune 
::325 ::MLS ::Marian 
::Tyler ::Toby ::Kerry 
::Claude ::Missikoff ::Webb 
::Auwera ::Representation ::Boral 
::Statement ::Extracting ::Assigning 
::Howard ::Prakash ::Kotagiri 
::491 ::Korn ::Jochen 
::Leonid ::T ::Milt 
::Geppert ::B+trees ::Beat 
::Datenbases ::Chou ::Capability 
::Lougenia ::Viswanath ::Decomposition 
::Defense ::Rules ::Terms 
::Assisted ::Shutdown ::Devolution 
::Bargmeyer ::were ::46 
::DIPS ::Taylor ::Christmas 
::Multimedia ::67 ::Computations 
::Korth ::One ::378 
::Anindya ::Inheritance ::Gary 
::Sequence ::Teradata ::Kshitij 
::Sam ::Comprehension ::Hugh 
::256 ::GOOD ::Edward 
::Logical ::Office ::Cvetanovic 
::RAID5 ::Duri ::IDEA 
::William ::428 ::Hasselbring 
::Penalty ::479 ::Zirm 
::5 ::Silvio ::Nita 
::Smith ::Arya ::Kennedy 
::Colliat ::Spotfire ::Limsoon 
::Gucht ::Interpreted ::Gnther 
::Chaudhary ::Predicates ::High 
::Kuck ::Warkentyne ::Mick 
::offs ::Rafael ::language 
::403 ::264 ::Lotus 
::Optical ::Porter ::264 
::Execution ::Keller ::Goal 
::513 ::Gnter ::Moira 
::Pixel ::Years ::85 
::Buff ::Lipeck ::Arvola 
::Dayns ::Perform ::Said 
::Only ::Yue ::Jumping 
::Badrinath ::Sagiv ::Concepts 
::Integrating ::Wisconsin ::Siegel 
::Julian ::Hide ::Yurek 
::Walter ::James ::Haenni 
::Tininini ::Usability ::57 
::217 ::DeeDS ::Potamianos 
::User ::Srinivasan ::312 
::Held ::Revisited ::VMS 
::Distribution ::Later ::Study 
::Mellin ::Bharat ::Wolfgang 
::VLDB ::Objectivity ::352 
::68 ::Kline ::Copeland 
::143 ::GeoMiner ::East 
::Mosh ::Gadia ::193 
::Silberschatz ::Presentation ::Candan 
::from ::Sinha ::Colette 
::Traversal ::GeoMiner ::Distance 
::Lohman ::S3 ::Agigdor 
::Jnsson ::234 ::247 
::Badia ::Trobe ::Sarathy 
::Botnich ::Raghu ::285 
::Mayer ::539 ::Andrianopoulos 
::Swami ::34 ::Shiri 
::Extension ::Structures ::Telecommunications 
::Donjerkovic ::Jae ::295 
::Tom ::Tryfona ::Musukula 
::Scheduling ::Challenge ::Mandy 
::Replication ::Disjunction ::Natural 
::Ilsoo ::Erratum ::Executions 
::Stamos ::Knowles ::Nan 
::Amy ::130 ::Rajaraman 
::Neuhold ::Repositories ::557 
::HweeHwa ::media ::Guidance 
::Paton ::Versioning ::GlOSS 
::Two ::Experience ::Rahm 
::Stonebraker ::Rolker ::Amherst 
::567 ::Recurrent ::104 
::Timeliness ::Ohori ::zsu 
::Larson ::Infinite ::Massachusetts 
::Orthogonally ::Thanisch ::Emperiment 
::zgr ::418 ::Actions 
::Jaewoo ::Static ::Marc 
::540 ::Don ::Lineare 
::Aggregation ::Mechanism ::Qingshan 
::Kuck ::392 ::Walter 
::Cube ::Sena ::Ariel 
::Pena ::McClatchey ::Retrieval 
::98 ::78 ::Distance 
::Evaluating ::et ::Nenad 
::Krishna ::Wong ::Xiangyu 
::Tamer ::Modular ::Subramanian 
::Asuman ::Block ::Gadia 
::253 ::Hansson ::Sagalowicz 
::Shinichi ::Soo ::Chi 
::Abiteboul ::Dar ::330 
::Vincent ::Florescu ::Sylvia 
::Per ::Skew ::164 
::Constraints ::Weihl ::Hierarchies 
::Barinderpal ::Ballinger ::Carsten 
::Histograms ::Bulk ::Kenn 
::Satish ::Julian ::Merz 
::Klusch ::Sanjay ::den 
::Products ::Hierarchical ::Lefler 
::Matthew ::Azer ::Raghu 
::Sudhir ::Arvola ::Summaries 
::231 ::Moshe ::Christopher 
::site ::Arne ::Griffeth 
::Kyoji ::Yoshikawa ::148 
::Type ::Using ::Brown 
::Morishita ::Gehrke ::Realizing 
::Made ::Rakow ::Environmental 
::Completeness ::Yehoshua ::Ado 
::Liam ::SPARC ::Critical 
::Independence ::BIRCH ::Dynamically 
::490 ::Jenkins ::Vipul 
::Inverted ::Hung ::Groupware 
::Variant ::Very ::Retrieval 
::Lionel ::Xiaolei ::Surajit 
::Rafanelli ::Moffat ::402 
::319 ::75 ::Edgar 
::511 ::Semi ::Security 
::Proposed ::401 ::Vitter 
::Placement ::Alfons ::Knowledge 
::28 ::Manifesto ::Scalable 
::Updating ::Ouri ::Memory 
::RDBMS ::NP ::Colin 
::Souder ::Stenoien ::Terranova 
::Winslett ::284 ::Brick 
::Hong ::Recursive ::Storage 
::Diagram ::Pat ::288 
::Fraternali ::Adya ::Negotiation 
::453 ::Relationship ::endPage 
::Content ::Bhide ::Gehrke 
::Multidimensional ::Availability ::Rakow 
::Heiler ::Braunmller ::204 
::Optimistic ::Remotely ::Modeling 
::Navarro ::Tsatalos ::Piatko 
::Environments ::SigmodRecord ::issue 
::Pinar ::Masatoshi ::Steinbrunn 
::Cattell ::TSIMMIS ::Alonso 
::Haritsa ::Biliris ::98 
::Souza ::BeSS ::Telecommunications 
::Shekita ::451 ::Rational 
::Reconciliation ::Order ::Wahab 
::Rulebase ::Ricardo ::Windows 
::Optimizer ::Omiecinski ::Interpreted 
::Braham ::Flokstra ::Termination 
::Jensen ::Deborah ::Shah 
::Mehmet ::Yihong ::Benchmark 
