::Rates ::Kocharekar ::Ralf ::Local 
::477 ::446 ::Allen ::Unix 
::Query ::347 ::Goldfine ::Nearest 
::Nelson ::Qualitative ::Multidimensional ::Musukula 
::Secondary ::Kazuhiko ::Kriegel ::Ley 
::Support ::line ::Katz ::Symmetric 
::Historical ::Jeanine ::Shenoy ::Roberto 
::258 ::Cube ::Environmental ::De 
::Sybase ::Ballinger ::Workstations ::Miron 
::Capabilities ::576 ::Carl ::Extensions 
::Mishra ::Pires ::Called ::Chairman 
::Buffers ::Tryfona ::Zloof ::Relaxed 
::Change ::Sequential ::Curry ::217 
::Eugene ::Experiments ::S ::99 
::Shenoy ::Sycara ::RIDL ::Clement 
::dimensional ::Souza ::367 ::Ulla 
::Oriented ::Ghemawat ::243 ::124 
::D ::Vossen ::Yannis ::49 
::207 ::McKenzie ::Cocktail ::Wars 
::Andries ::Hoel ::Information ::Ju 
::283 ::Sleepers ::102 ::Fernandez 
::47 ::Sampling ::Reference ::Mumick 
::Shu ::59 ::Guido ::NF2 
::Barbar ::Stankovic ::Perform ::Rastogi 
::s ::Efficient ::Processibility ::Mike 
::Technical ::Resnick ::Curtis ::77 
::Ballinger ::575 ::Fong ::Design 
::Rewrite ::Ulusoy ::Hayes ::RDBMS 
::Wenger ::Kerschberg ::Nick ::Policies 
::Doppelhammer ::Stefano ::Amateur ::Goldfine 
::Yoshikawa ::Cliff ::Pedro ::407 
::Parallel ::Paepcke ::Brodsky ::Toolbox 
::Doo ::ODE ::HyperStorM ::Rabinovich 
::Chakravarthy ::135 ::478 ::Bltzingsloewen 
::Separately ::341 ::Infomaster ::of 
::attribute ::Maindreville ::Koch ::Delobel 
::Multiattribute ::William ::Kuck ::Swarup 
::Roberto ::Raymond ::Asit ::Hide 
::Packer ::Ramasamy ::Belinda ::Dittrich 
::Execution ::Future ::Y ::Tokuyama 
::Mariposa ::Pernici ::450 ::Codd 
::155 ::DeWitt ::LRU ::358 
::Marcus ::Yoshinori ::Lougenia ::144 
::Comprehension ::Fetches ::Bozkaya ::database 
::were ::Raju ::Infinite ::Mauricio 
::Rajendran ::Critical ::Cube ::2 
::Fry ::Walters ::wide ::Orthogonally 
::Sarathy ::Tam ::RDBMS ::Grammar 
::Claudia ::La ::Chan ::Datta 
::Initial ::contra ::Cooperation ::Sagiv 
::Indian ::Assessment ::Hartmut ::Nectaria 
::126 ::Lewis ::Melissa ::109 
::114 ::Gehrke ::Stonebraker ::Prasadram 
::419 ::Beyer ::Wiest ::Gibbons 
::Tsichritzis ::Cem ::Reply ::Metadatabase 
::Hou ::Dangers ::Eick ::Ghandeharizadeh 
::Spatial ::572 ::Algorithm ::Yehoshua 
::Elke ::Wall ::Internal ::Loeffen 
::518 ::Saltor ::324 ::Rakesh 
::Warehouse ::Gesmann ::Knig ::How 
::Modular ::Cammarata ::74 ::297 
::Yoshinori ::Buffer ::Piatetsky ::Feedback 
::Sullivan ::ORES ::Mohammad ::MLR 
::419 ::543 ::Bertino ::Strategies 
::Blott ::Improved ::355 ::Seshadri 
::Stanley ::84 ::Ries ::Larson 
::Fotouhi ::Meckler ::sets ::353 
::147 ::CICS ::Seshadri ::Heterogeneous 
::Higher ::Standardization ::Newmann ::Qaimari 
::Pratt ::Rafiei ::Incremental ::Marcus 
::Moshe ::Validation ::Giansalvatore ::Append 
::Personal ::Years ::Tan ::Already 
::28 ::tree ::Resource ::Erik 
::513 ::Marc ::482 ::Benson 
::71 ::158 ::Remote ::Elke 
::Seshadri ::Nothing ::Nutt ::Florescu 
::Thierry ::404 ::Rates ::they 
::a ::Roger ::Deduction ::and 
::A ::Protocols ::Text ::Schwartz 
::Full ::Logging ::Pirahesh ::Update 
::Non ::Annotating ::Zurich ::30 
::Jim ::Selfridge ::25 ::Nulls 
::Scientific ::Douglas ::Compiling ::Mohamed 
::Carsten ::Walters ::Brice ::MMDBS 
::Kulkarni ::Using ::Downing ::Independence 
::177 ::Utilities ::Ozkan ::293 
::114 ::Kosmas ::Hyuk ::127 
::Versioning ::yiu ::Nulls ::Higher 
::1988 ::zgr ::Meyer ::Moss 
::Keith ::Hypothetical ::330 ::580 
::Keulen ::Where ::Tsatalos ::408 
::24 ::Wilner ::Expected ::Gregory 
::46 ::483 ::Widmayer ::Mema 
::Jnsson ::Sonia ::White ::Knowles 
::Burger ::Globally ::Mendelzon ::Bryce 
::Announcements ::Jianwen ::Ozcan ::Ariav 
::Among ::Truszkowski ::Cory ::Dreyer 
::Qaimari ::Nori ::Edward ::Kirby 
::Current ::Franoise ::Wrappers ::Kilic 
::Entity ::Loss ::Tian ::Achyutuni 
::ISS ::Tininini ::Alternative ::Speech 
::89 ::115 ::Davood ::39 
::183 ::165 ::non ::Educational 
::Independence ::Sharma ::Shin ::Informal 
::V ::Goldner ::Edgar ::Modules 
::Hadzilacos ::Max ::Carter ::Wiener 
::Personal ::Manolopoulos ::Multidatabases ::Users 
::Nick ::Lewis ::Nesting ::Solution 
::Shashi ::79 ::Dieter ::Modeling 
::Andree ::Richard ::Kotidis ::98 
::Prasadram ::Jacek ::Gehrke ::International 
::Motwani ::Has ::Chee ::Nesting 
::Advances ::Continuous ::Oscar ::Neuhold 
::Value ::Solving ::412 ::Persistence 
::250 ::Hppler ::1951 ::393 
::341 ::Allan ::Donovan ::Clark 
::Aris ::Georges ::Heiler ::Materialized 
::Press ::Deppe ::Exploiting ::Wesley 
::order ::Study ::Jhingran ::Jessie 
::King ::Jarke ::Sybase ::Task 
::Catriel ::Accessing ::Schwarz ::Norrie 
::Atsushi ::RISC ::Windows ::Production 
::Held ::Consumer ::IPSI ::Trading 
::Nural ::Abdel ::Ron ::Thanasis 
::95 ::University ::Josef ::Shutdown 
::Roddick ::Riccardo ::Other ::Active 
::Dao ::Larson ::Bocca ::76 
::Chee ::Orthogonal ::Goodman ::Tool 
::Aggregate ::Linkage ::Wilcox ::Structural 
::Highly ::Incremental ::Fotouhi ::Kam 
::Paepcke ::RIDE ::48 ::Open 
::Zhuge ::Margulies ::Augusto ::Checking 
::Ralf ::403 ::293 ::Benjamin 
::Karlapalem ::Arpinar ::ADS ::Consens 
::Orthogonal ::Compensation ::Street ::Daz 
::Dreyer ::Elke ::Georg ::Marti 
::OLAP ::Lipski ::Soumitra ::Kupsch 
::Wechsler ::Chawathe ::Multiprocessor ::Benny 
::Block ::Gruber ::Locking ::Yandong 
::Merialdo ::Joachim ::Chan ::Rule 
::Thanasis ::Languages ::Mumick ::Files 
::Steinbrunn ::Position ::Wars ::Trickey 
::Steinbrunn ::Datasets ::Edwin ::224 
::32 ::Aggregates ::the ::Fynn 
::Darling ::Stole ::Lifestreams ::Zdonik 
::re ::Radek ::94 ::Mapped 
::Benson ::DEC ::Fotouhi ::Graefe 
::Differential ::MINOS ::Wang ::Syntax 
::Morimoto ::Sarathy ::for ::Outer 
::Editor ::Penalty ::Ulusoy ::62 
::MYRIAD ::Compiled ::Shalom ::Steven 
::Egemen ::Winfried ::Types ::Content 
::Nikhil ::Umesh ::Existing ::Helland 
::SG ::Directions ::Flokstra ::Morpain 
::482 ::Roy ::Yates ::Unpacking 
::Hillyer ::Rajendran ::Nita ::Foreword 
::versionControl ::Carl ::Mirroring ::Tim 
::Administration ::Klug ::Globally ::Low 
::Silvio ::Controlled ::Postgres ::Nesting 
::Sistla ::Kohler ::Kiran ::Hirata 
::Mikael ::Widoff ::173 ::NF2 
::Solution ::Ohori ::Dusseau ::Tutorial 
::87 ::Extracting ::Nothing ::VMS 
::Andersen ::Rene ::Shasha ::Eliminating 
::Meaningful ::Managing ::Amateur ::178 
::Evolving ::Wilhelm ::Performance ::Neuhold 
::143 ::Tomlinson ::8 ::Suciu 
::Implications ::Mechanism ::Into ::Warehousing 
::Retrieval ::Yue ::Helal ::Sampaio 
::Lotus ::451 ::Suzanne ::Vaskevitch 
::Andrianopoulos ::Trading ::Scans ::Outerjoins 
::Rabinovich ::539 ::Wodtke ::Jerry 
::Reconstructed ::423 ::Livny ::Global 
::Roantree ::Position ::Neil ::Gemis 
::Dengi ::Bussche ::Stenoien ::Reconstructed 
::Dyreson ::224 ::Kotagiri ::56 
::378 ::Viviane ::Zhao ::Genesereth 
::Said ::Academic ::Willis ::Singh 
::Self ::Harandi ::Dreyer ::Semi 
::Biskup ::Bases ::Penalty ::Multiversion 
::Lipski ::Logic ::Extendible ::EFDBS 
::Adali ::Accociation ::Inderpal ::Dina 
::Norio ::Mema ::Infinite ::Estimation 
::Parity ::Zhang ::Evaluation ::Jumping 
::Icons ::Cichocki ::351 ::Jumping 
::Sizes ::287 ::Synthetic ::263 
::Maier ::Marr ::398 ::Hasan 
::Marc ::zsu ::518 ::Rafanelli 
::Shashi ::Mattos ::Hierarchy ::Exploration 
::4th ::Guidelines ::Unix ::Remotely 
::Garnett ::Hendrikx ::Rolker ::Chin 
::Kaizhong ::Arrays ::12 ::HPCC 
::Vista ::Terrance ::number ::Approaches 
::Efficiently ::Klonk ::86 ::Natarajan 
::Koudas ::Correctness ::Aloysius ::Brice 
::Extendible ::Pages ::LRU ::Paper 
::Self ::Ralf ::Umesh ::Problems 
::Resolution ::365 ::Ward ::270 
::Halici ::Pattern ::Andrew ::Louiqa 
::Aided ::Tininini ::Synthetic ::Suzanne 
::Harald ::Etheredge ::Flexible ::Cem 
::Sacks ::wish ::Workaholics ::RDBMS 
::Bauyer ::Opportunities ::531 ::Status 
::Residues ::Albert ::Behavior ::Tradeoffs 
::Daz ::237 ::Making ::408 
::Temporal ::Dean ::35 ::Ingres 
::439 ::Comparison ::Cvetanovic ::ITASCA 
::Assigning ::Heiler ::Zou ::Perform 
::Delayed ::Nimrod ::Karvelis ::Query 
::Rundensteiner ::Low ::399 ::Nichols 
::255 ::ODBMS ::305 ::Contextualizing 
::Mukul ::Roberto ::Philip ::Order 
::Arne ::Jack ::DBSim ::Xian 
::Stoltzfus ::Series ::Anand ::Kaizhong 
::Melvin ::Mema ::Quiescing ::Venky 
