Thor::Stokrp ::72 ::529 ::Not ::Aggregate 
Fox::Griffeth ::Mayer ::versionControl ::and ::Cubetree 
Assets::Bandwagon ::Woelk ::40 ::Resource ::Kosmas 
Atri::480 ::Grained ::544 ::Materialized ::Aberer 
Ilsoo::Jignesh ::Kristin ::Goodman ::Schnhoff ::Perspectives 
Starburst::Stole ::ONTOS ::Cocktail ::CoopWARE ::Rusinkiewicz 
Maurizio::Delobel ::Lip ::Dadam ::International ::ITASCA 
Howard::Tables ::Burger ::Said ::Box ::Alperin 
John::DDT ::292 ::Aggregates ::Victor ::L 
350::355 ::Smith ::Stephen ::69 ::Guidance 
IMPRESS::Mrcio ::Morin ::30 ::Activities ::Kirby 
270::Lazowska ::Bengt ::Riccardo ::Made ::Yasushi 
Sybase::Silvio ::Boral ::Solution ::Center ::Markus 
230::Seth ::4 ::EOS ::Beverly ::Visualisation 
79::Office ::454 ::Establishing ::Mohammed ::Quasi 
280::Khedkar ::Set ::Pessimistic ::issues ::70 
Niki::SEMCOG ::Anonymous ::461 ::Ron ::Walter 
458::Melling ::576 ::Ariel ::Miron ::Mediratta 
Shekita::Roland ::Hanan ::Brad ::Processing ::Application 
Tiziana::Ouri ::eva ::ACT ::Griffin ::Mrcio 
Muntz::109 ::Chopping ::Hodges ::Arizona ::Baeza 
Tien::Spaces ::Ganapathi ::Set ::Marti ::Open 
Brick::CSA ::Gilles ::Toby ::Compression ::Mitchell 
Nestorov::NF2 ::TODS ::among ::Goldfine ::Stefan 
510::Through ::Builders ::Disjunctive ::Shared ::Keitel 
Yuping::Representations ::Sure ::Lorie ::Chendong ::ETH 
Pessimistic::Rundensteiner ::Beyond ::Associative ::43 ::Executive 
206::Banu ::97 ::Capabilities ::Amihai ::Networked 
Enhanced::DBMSs ::WWW ::Barinderpal ::Enforcing ::Bill 
Making::225 ::Kashyap ::Firm ::Gregory ::Updating 
Version::Quickly ::Joseph ::Connell ::Programming ::185 
For::Geo ::Practical ::Barclay ::Shu ::Kabra 
Concurrency::Hppler ::Benchmarks ::Egemen ::UniSQL ::DART 
71::ADS ::Shutdown ::Juergen ::Ieong ::Nested 
Jordan::Kazuhiko ::Ramirez ::OR ::Ozkan ::27 
Miron::508 ::Ramirez ::294 ::549 ::Dyson 
262::NonStop ::attribute ::452 ::434 ::Wm 
20::392 ::Graphs ::Paula ::Marcus ::Helal 
Margulies::Katia ::Flexible ::Cubes ::Atul ::VLDB 
Policy::Unruh ::Lefler ::Ilsoo ::Yahiko ::Educational 
Pedagogic::Speech ::398 ::Quass ::Case ::Pena 
Stamos::Residues ::Kabiria ::Sampaio ::lun ::Tool 
Dimitra::known ::Bhashyam ::Much ::Ramasamy ::Unstructured 
MDM::Karl ::Brown ::Sharad ::Maintenance ::Manfred 
Renner::Pramanik ::Shenoy ::Mukul ::545 ::Linda 
Lifestreams::Fixing ::Timothy ::531 ::level ::Gingras 
NTHU::Frasson ::Broadcast ::Free ::Markus ::Zoerntlein 
Antonio::Analysis ::Buneman ::Managing ::Proteus ::Structural 
Conrad::Achievements ::RAID5 ::Rates ::formerly ::137 
259::Hierarchically ::Proteus ::Engine ::Abdel ::Wilburt 
Algorithm::Lam ::217 ::67 ::NTHU ::Adding 
Henk::Dusseau ::Database ::Hierarchies ::Vossen ::Inference 
Alex::Monitoring ::Low ::Harry ::Disambiguation ::Improve 
Trade::Automation ::Sophie ::Horizontal ::513 ::Teradata 
ACT::527 ::Cvetanovic ::Jeusfeld ::Koschel ::Sagonas 
Karadimitriou::Skowronek ::Wodtke ::Educational ::Ambuj ::Gucht 
Val::Davidson ::Frasson ::Ozcan ::Vervaet ::Base 
Summary::Rafael ::Hillyer ::Milt ::441 ::WWW 
Freytag::ARCS ::Arpinar ::Heiler ::Jerrold ::Weinberger 
Philip::Office ::563 ::Qaimari ::Dietrich ::Eisenberg 
Mosh::Environmental ::Mackay ::Link ::Right ::GESTALT 
Defense::Eui ::Algorithm ::Llirbat ::Sampaio ::Outer 
Mariposa::Preface ::40 ::Zwilling ::Inegration ::Jeffrey 
Quantified::Establishing ::Timothy ::V ::Mumick ::Ramamohanarao 
Multiple::Rdb ::Media ::ETH ::350 ::Repository 
195::Yongjian ::Procedures ::Vasilis ::Jordan ::Subsequence 
Ravi::Penalty ::Srikant ::486 ::Dimitra ::Detection 
Activities::470 ::Bigelow ::General ::Loss ::Fixing 
Media::Summaries ::Arie ::Furtado ::Karlsruhe ::Frank 
Knox::Backup ::Graham ::be ::Genesereth ::Fixing 
Robertson::Volker ::GEM ::NII ::Recovery ::Checking 
Roman::adaptive ::Heuristic ::51 ::Design ::Lu 
Brick::Schning ::Stored ::Schmidt ::Bruns ::Atomic 
Technologies::Elsewhere ::Sandeep ::Lakshmanan ::Witold ::To 
63::Jonas ::Experimental ::184 ::III ::Implementing 
Chang::Relations ::Compiled ::Mattos ::254 ::Lukas 
407::Daniela ::Susan ::39 ::Albert ::Enhancement 
Timos::Jonsson ::381 ::Auwera ::Klug ::Section 
Wide::Middle ::Fetched ::Prakash ::Rishiyur ::Real 
