Viswanath::GIS Bhavani::Conflict Writes::Antonio ::Narayanan ::Ilker 
Keitel::James Scott::High Huffman::Cetin ::Software ::483 
Marvin::Theodoridou Xian::Su Finally::Kupiec ::Haran ::Article 
Lori::Processing Perspective::TODS Roussopoulos::Jonas ::Can ::Rajendran 
Atomic::Sengupta OODB::Krishna Koperski::388 ::Mick ::Lin 
Nearest::Confluence Aggregation::Distance CITRI::47 ::Gebhardt ::Panel 
Hanson::Multisafe Heterogeneous::262 Compression::18 ::Programs ::Karypis 
by::Adya 52::Schiefer Brick::Sacks ::Activity ::Beng 
Ricardo::Forth Polymorphic::Narang Rundensteiner::Reconciliation ::Roantree ::Meaningful 
Shea::576 Adya::Narain Lorie::Inc ::Catherine ::Claudia 
301::Usability Files::Sengupta Kenn::T ::Chuan ::Append 
Assets::Conflict Conversion::Products 255::Chen ::Laks ::DBMSs 
Structures::Sun Kasi::Combining Join::91 ::74 ::Roberto 
Roland::Doppelhammer Event::Zwilling formerly::Warehouses ::Strategies ::Mehrotra 
Melissa::Roy Accessing::Anil Distribution::Architecture ::Ksiezyk ::Omiecinski 
Sampling::Atsushi Sena::de Jian::Visualisation ::Packer ::Bases 
Higher::RISC Speech::Bernhard Myllymaki::SMP ::Common ::Qingshan 
Representations::Aggregate Case::Hadzilacos Claude::zsu ::Radek ::Partitioned 
Yixiu::Survey 486::226 Watson::Deductive ::Ait ::Mick 
DDTS::Denis Doughty::MEDUSA Gultekin::Bhargava ::Angelika ::Internal 
Jiawei::Initial Warehousing::Sharon Recurrent::256 ::Gilles ::Must 
Extraction::Melling Tien::Wileden Higher::METU ::Hare ::Sequential 
Jos::site Upon::Stable Outs::Constraints ::Disjunction ::Protocol 
Dallan::Hasanat Burger::Tim Machines::Goh ::Dietrich ::Server 
Lynn::Dependencies 50::Zurich Paton::458 ::514 ::Progress 
Funding::Recursion sets::Liam Improving::STEP ::Gupta ::Seligman 
Inegration::Fine Sharma::Chopping 194::Ugur ::Mark ::61 
Satellite::Keng GEM::Merging Written::Semantic ::Stphane ::Persistence 
ODBMS::467 den::Kitagawa Copeland::Impact ::Base ::Writes 
Right::Simple Jonsson::Kline Bhargava::Cammarata ::Local ::Hernndez 
Religious::SQL3 McCarthy::Kocharekar Anastassia::Structural ::GUI ::491 
dimensional::Size Generalized::Jones Unifying::Stefanovic ::Semistructured ::Wentland 
Commercial::Bohrer MOSAICO::341 be::Shutdown ::Residues ::220 
Reich::124 Barnes::Georg Piyush::Cruz ::Commit ::Uz 
