::Kitagawa ::Taube 
::Architecture ::Rafanelli 
::Florescu ::Bitton 
::Soloviev ::Manager 
::NP ::Salzberg 
::Do ::Hppler 
::Work ::Gerlhof 
::Sampling ::Been 
::Only ::Qureshi 
::Out ::Bhashyam 
::trees ::Yates 
::Mayford ::Behaviour 
::Hernndez ::Alon 
::Gal ::Seluk 
::Histograms ::Beverly 
::358 ::Rewrite 
::For ::Implication 
::Engineering ::Hui 
::Novel ::Sinha 
::NET ::Alonso 
::Cammarata ::Melmom 
::Computer ::IM 
::Cocktail ::Andrea 
::Moscarini ::370 
::Editor ::articles 
::Koperski ::Daniel 
::Dayal ::Hugh 
::Simulation ::484 
::Sarathy ::Thuraisingham 
::Conceptual ::Identity 
::Stanford ::Protocol 
::Denis ::Cluet 
::185 ::118 
::6 ::ARIES 
::OR ::Geo 
::Introduction ::Mick 
::I ::Haran 
::522 ::20 
::Activity ::Divesh 
::Renner ::124 
::Ariel ::Beliefs 
::Ishwar ::Status 
::Consens ::Chan 
::WHIPS ::Therber 
::Chi ::Administration 
::ACT ::Waramahaputi 
::Personal ::62 
::Ravishankar ::OOPSLA 
::Boral ::Toolkit 
::Dependence ::94 
::406 ::Marianne 
::Mining ::James 
::Sources ::Chaudhuri 
::Fowler ::Types 
::Dewan ::Schrader 
::Harinarayan ::87 
::Quantified ::Christoph 
::Pratap ::Goetz 
::Harumi ::Gottfried 
::Entity ::DBS 
::SG ::Normal 
::Main ::490 
::Dreyer ::Woelk 
::Massively ::Tomasz 
::Gang ::Rashid 
::Contextualizing ::El 
::Iyer ::Vinek 
::Kulkarni ::Alexander 
::Recovery ::ADBMS 
::Adya ::Reiner 
::Quantified ::Erich 
::Day ::Charles 
::Stole ::Benchmarks 
::Burger ::Yuksel 
::Snodgrass ::Wendy 
::Stemple ::Souza 
::Ching ::Shneiderman 
::Concepts ::230 
::Gelder ::Stenoien 
::555 ::Editors 
::Ilsoo ::Tschernko 
::Koschel ::545 
::Dennis ::One 
::Standards ::233 
::330 ::486 
::19 ::Craig 
::Ariel ::Market 
::Louiqa ::Papakonstantinou 
::Domains ::541 
::Gultekin ::MENTOR 
::Elsbernd ::Kosch 
::Kupsch ::WWW 
::Image ::Generalized 
::Unruh ::Trigger 
::Levy ::Warehouse 
::relational ::Widom 
::S ::Suzanne 
::Kaizhong ::Locally 
::Ebru ::Nestorov 
::Message ::Trade 
::389 ::Daniels 
::by ::Robertson 
::Wimmers ::217 
::516 ::Rundensteiner 
::Despina ::Catherine 
::Codd ::Castano 
::Curtis ::Descollonges 
::Yahiko ::Interval 
::Naacke ::Multidatabase 
::17 ::State 
::Basket ::STRUDEL 
::Benny ::George 
::Segev ::498 
::Serge ::T 
::Representing ::Bernard 
::Gehani ::Inc 
::Weihl ::Visualization 
::ODMG ::Finally 
::Anonymous ::Sizes 
::H ::369 
::Compression ::Real 
::Managing ::Integrating 
::ODMG ::Guest 
::Kenn ::Rundensteiner 
::382 ::Eben 
::Summary ::Morishita 
::Sampaio ::Zorn 
::Current ::Reedy 
::355 ::Processibility 
::2 ::60 
::Perspective ::Clark 
::Consistency ::Aberer 
::Extensions ::Forte 
::Erik ::Assessment 
::484 ::Rao 
::Andries ::Sean 
::Capability ::Computing 
::Experiments ::Kon 
::Where ::Workloads 
::Matchmaking ::Tryfona 
::Scott ::Cercone 
::Deductive ::Compensation 
::Maryanski ::Castano 
::Arvola ::Luc 
::Nan ::Bestavros 
::Relationships ::Discovery 
::Kolodner ::Investigation 
::MLR ::Conflict 
::Phillip ::r 
::Expert ::398 
::DEC ::Centre 
::MENTOR ::Event 
::Meltzer ::451 
::Lehman ::Refresh 
